REFNUM			NACA64618_Re3M_AAA_R02
XA			25
THICK			18
REYN			3000000
DEPANG			0
NALPHA			148
NVALS			3
-180	0	0.0189	0
-175	0.3877	0.0327	0.1945
-170	0.7754	0.0931	0.3899
-165	0.5536	0.1766	0.2331
-160	0.6624	0.2759	0.2819
-155	0.7377	0.3851	0.32
-150	0.7826	0.4992	0.3492
-145	0.7999	0.614	0.371
-140	0.7928	0.7261	0.3866
-135	0.764	0.8328	0.397
-130	0.7164	0.9319	0.4031
-125	0.6526	1.0217	0.4057
-120	0.5751	1.1009	0.4053
-115	0.4863	1.1684	0.4024
-110	0.3884	1.2235	0.3975
-105	0.2835	1.2658	0.3909
-100	0.1737	1.2948	0.3828
-95	0.0607	1.3104	0.3734
-90	-0.0534	1.3125	0.363
-85	-0.1671	1.3011	0.3516
-80	-0.2784	1.2763	0.3393
-75	-0.3855	1.2384	0.3261
-70	-0.4865	1.1878	0.312
-65	-0.5796	1.1249	0.297
-60	-0.6626	1.0503	0.2812
-55	-0.7334	0.9651	0.2644
-50	-0.7897	0.8704	0.2465
-45	-0.829	0.7581	0.2276
-40	-0.849	0.6233	0.2076
-35	-0.847	0.4745	0.1863
-30	-0.8563	0.3261	0.1637
-28	-0.8703	0.2707	0.1499
-26	-0.8884	0.2193	0.1284
-24	-0.9095	0.1726	0.1013
-22	-0.9323	0.1315	0.0709
-20	-0.9558	0.0963	0.0391
-18	-0.9788	0.0673	0.0083
-16	-1	0.0447	-0.0194
-14	-0.989	0.0284	-0.042
-13.5	-0.968	0.0253	-0.0466
-13	-0.939	0.0226	-0.0506
-12.5	-0.904	0.0202	-0.0542
-12	-0.864	0.0183	-0.0572
-11.5	-0.821	0.0167	-0.0596
-11	-0.773	0.0152	-0.0614
-10.5	-0.724	0.014	-0.0625
-10	-0.673	0.013	-0.0629
-9.5	-0.622	0.0122	-0.063
-9	-0.57	0.0116	-0.0631
-8.5	-0.518	0.0111	-0.0635
-8	-0.467	0.0107	-0.0639
-7.5	-0.416	0.0103	-0.0645
-7	-0.363	0.01	-0.0654
-6.5	-0.309	0.0096	-0.0664
-6	-0.252	0.0092	-0.0676
-5.5	-0.192	0.0088	-0.0691
-5	-0.131	0.0084	-0.0709
-4.5	-0.072	0.0083	-0.0729
-4	-0.014	0.008	-0.0752
-3.5	0.043	0.0073	-0.0778
-3	0.098	0.0065	-0.0808
-2.5	0.152	0.0061	-0.0841
-2	0.206	0.006	-0.0878
-1.5	0.262	0.006	-0.0917
-1	0.318	0.0059	-0.0957
-0.5	0.374	0.0059	-0.0995
0	0.43	0.0059	-0.1028
0.5	0.485	0.0059	-0.1055
1	0.541	0.0059	-0.1078
1.5	0.597	0.0059	-0.1099
2	0.653	0.0059	-0.1121
2.5	0.709	0.0059	-0.1148
3	0.765	0.006	-0.1183
3.5	0.821	0.006	-0.1231
4	0.876	0.0061	-0.1295
4.5	0.932	0.0062	-0.1367
5	0.988	0.0064	-0.143
5.5	1.037	0.0066	-0.1465
6	1.078	0.0069	-0.1457
6.5	1.112	0.0074	-0.1434
7	1.141	0.0087	-0.1416
7.5	1.166	0.0105	-0.14
8	1.187	0.0128	-0.1388
